name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,x,y
P1,13.09561831,12.87814966,12.67224811,12.87814966,12.85698498,16.01861783,19.53176524,21.36437261,22.96863,28.97611417,27.2439243,29.74707566,26.94677183,25.44802062,24.20112789,24.51285108,22.27781763,19.44691098,19.88062662,19.88062662,19.44691098,15.77961412,13.56534383,12.35619024,850,550
P4,18.5150124,18.9681588,18.74158561,18.9681588,19.85932837,18.76985525,15.65654786,18.04076839,17.26991827,15.36044194,14.8325418,17.7924816,17.0534214,16.63110129,16.20878117,16.3143612,14.60585802,15.49759982,16.13339196,16.13339196,15.49759982,16.62694232,18.83583106,17.38213768,550,550
P7,7.663154634,8.528042991,8.431944291,8.528042991,8.720240403,7.663154634,1.755,1.755,1.755,4.4528694,4.702965756,7.174043115,7.499462608,7.663154634,7.663154634,7.663154634,6.392198078,1.755,1.755,1.755,1.755,4.600610991,5.579359884,2.522613333,350,550
