name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,x,y
b22,0,0,0,0,0,0,2.81618763,138.1352554,246.8834058,362.3198937,435.883226,479.4225085,500,479.1347601,459.3264079,397.7340534,288.9994183,158.7797997,14.09318679,0.010959316,0,0,0,0,300,330
b18,0,0,0,0,0,0,2.81618763,138.1352554,246.8834058,362.3198937,435.883226,479.4225085,500,479.1347601,459.3264079,397.7340534,288.9994183,158.7797997,14.09318679,0.010959316,0,0,0,0,600,410
b33,0,0,0,0,0,0,2.81618763,138.1352554,246.8834058,362.3198937,435.883226,479.4225085,500,479.1347601,459.3264079,397.7340534,288.9994183,158.7797997,14.09318679,0.010959316,0,0,0,0,900,490
